,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,gas_kwh_per_acc,temp_extremes_min,max_temperature,temp_var,price_electtariffs_inflatnadjusted_cent_per_kwh,mean_temp,elec_price
0,163.2,2005,1,24.395967741935483,594.63,94.14764890282132,22.5,32.4,9.899999999999999,22.6,26.6,134.38638
1,8.4,2005,2,25.330357142857142,591.238,92.92633228840126,23.5,34.7,11.200000000000003,22.6,28.5,133.61978800000003
2,82.4,2005,3,25.70577956989247,635.4556,91.00689655172414,23.0,35.0,12.0,22.6,28.5,143.6129656
3,81.7,2005,4,26.036805555555556,710.1496,93.18296529968454,23.0,35.1,12.100000000000001,22.6,28.7,160.4938096
4,331.1,2005,5,26.366532258064517,704.8936,89.1128526645768,22.6,35.4,12.799999999999997,22.6,28.5,159.3059536
5,82.3,2005,6,26.405694444444443,726.6268,89.71253918495297,23.6,33.9,10.299999999999997,22.6,28.8,164.21765680000001
6,104.0,2005,7,25.849865591397847,692.0228000000001,87.04670846394984,21.3,33.9,12.599999999999998,22.6,28.0,156.39715280000001
7,58.5,2005,8,25.900134408602153,675.0272,90.40503144654087,22.5,33.6,11.100000000000001,22.6,28.2,152.5561472
8,175.7,2005,9,25.996111111111112,667.42,91.9244514106583,21.8,33.1,11.3,22.6,28.2,150.83692
9,314.5,2005,10,25.58185483870968,680.648,89.35924764890282,23.0,33.0,10.0,22.6,27.6,153.826448
10,362.9,2005,11,25.43236111111111,677.225702811245,91.27648902821316,22.6,33.6,11.0,22.6,27.3,153.0530088353414
11,166.0,2005,12,25.326478494623657,625.6439516129033,85.97711598746082,22.0,33.5,11.5,22.6,27.3,141.39553306451614
12,454.4,2006,1,24.865591397849464,616.8335999999999,86.9793103448276,22.1,32.0,9.899999999999999,26.5,26.5,163.460904
13,115.5,2006,2,25.37842261904762,594.896,90.95924764890282,23.3,33.3,9.999999999999996,26.5,27.5,157.64744
14,83.1,2006,3,25.692204301075268,641.3142292490119,91.18871473354233,23.6,34.6,11.0,26.5,28.3,169.94827075098814
15,239.8,2006,4,25.854444444444447,703.6525691699605,88.85125786163522,23.4,34.1,10.700000000000003,26.5,27.6,186.46793083003956
16,205.7,2006,5,26.103629032258063,709.4090909090909,86.55566037735849,23.6,33.8,10.199999999999996,26.5,28.1,187.9934090909091
17,236.8,2006,6,25.99152777777778,695.8932806324111,89.341065830721,23.0,32.7,9.700000000000003,26.5,27.8,184.41171936758894
18,153.8,2006,7,26.21155913978495,675.7383399209485,85.20470219435737,22.6,33.1,10.5,26.5,28.4,179.07066007905138
19,127.3,2006,8,25.854569892473116,690.9948,89.49409937888198,22.1,33.1,11.0,26.5,28.3,183.11362200000002
20,83.3,2006,9,25.40486111111111,689.8901185770751,90.89937888198757,22.7,32.8,10.099999999999998,26.5,28.0,182.8208814229249
21,102.0,2006,10,25.69327956989247,682.987351778656,90.18478260869566,23.5,33.6,10.100000000000001,26.5,28.3,180.99164822134387
22,185.6,2006,11,25.550416666666667,687.6271653543307,89.67147239263804,23.5,33.2,9.700000000000003,26.5,27.3,182.22119881889765
23,765.9,2006,12,25.12217741935484,637.363779527559,85.62198142414861,22.4,32.7,10.300000000000004,26.5,26.6,168.90140157480315
24,450.1,2007,1,24.72083333333333,610.0929133858268,89.21323076923076,23.1,32.7,9.600000000000001,24.9,26.5,151.91313543307086
25,105.5,2007,2,24.870535714285715,577.109842519685,89.30061349693251,23.3,33.3,9.999999999999996,24.9,27.3,143.70035078740156
